PlayerID,Team,Number,FirstName,LastName,Position,Status,Height,Weight,BirthDate,College,Experience,FantasyPosition,Active,PositionCategory,Name,Age,ShortName,HeightFeet,HeightInches,TeamID,GlobalTeamID,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated
19827,BAL,0,Roquan,Smith,ILB,Active,"6'1""",230,1997-04-08T00:00:00,Georgia,4,LB,True,DEF,Roquan Smith,27,R.Smith,6,1,3,3,8306592.0,http://cdn.usatsimg.com/api/download/?imageID=24052134,http://cdn.usatsimg.com/api/download/?imageID=24052132,2024-08-22T15:13:01,2024-08-22T15:12:54
24928,BAL,2,Nate,Wiggins,CB,Active,"6'1""",182,2003-08-28T00:00:00,Clemson,0,DB,True,DEF,Nate Wiggins,21,N.Wiggins,6,1,3,3,8343936.0,http://cdn.usatsimg.com/api/download/?imageID=24185805,http://cdn.usatsimg.com/api/download/?imageID=24185806,2024-09-08T09:37:54,2024-09-08T09:38:24
21163,BAL,3,Deonte,Harty,WR,Active,"5'6""",170,1997-12-04T00:00:00,Assumption,3,WR,True,OFF,Deonte Harty,26,D.Harty,5,6,3,3,8343905.0,http://cdn.usatsimg.com/api/download/?imageID=24051319,http://cdn.usatsimg.com/api/download/?imageID=24051320,2024-08-22T13:44:00,2024-08-22T13:46:03
23120,BAL,4,Zay,Flowers,WR,Active,"5'9""",175,2000-09-11T00:00:00,Boston College,1,WR,True,OFF,Zay Flowers,24,Z.Flowers,5,9,3,3,8313640.0,http://cdn.usatsimg.com/api/download/?imageID=24050144,http://cdn.usatsimg.com/api/download/?imageID=24050141,2024-08-22T11:01:50,2024-08-22T11:01:45
23282,BAL,5,Jalyn,Armour-Davis,CB,Active,"6'1""",197,1999-09-03T00:00:00,Alabama,2,DB,True,DEF,Jalyn Armour-Davis,25,J.Armour-Davis,6,1,3,3,8299049.0,,,,
19864,BAL,6,Anthony,Miller,WR,Practice Squad,"5'11""",190,1994-10-09T00:00:00,Memphis,4,WR,True,OFF,Anthony Miller,29,A.Miller,5,11,3,3,8343918.0,http://cdn.usatsimg.com/api/download/?imageID=24052051,http://cdn.usatsimg.com/api/download/?imageID=24052052,2024-08-22T15:08:34,2024-08-22T15:08:40
22623,BAL,7,Rashod,Bateman,WR,Active,"6'1""",195,1999-11-29T00:00:00,Minnesota,2,WR,True,OFF,Rashod Bateman,24,R.Bateman,6,1,3,3,8274707.0,http://cdn.usatsimg.com/api/download/?imageID=24050076,http://cdn.usatsimg.com/api/download/?imageID=24050075,2024-08-22T10:52:30,2024-08-22T10:52:22
19781,BAL,8,Lamar,Jackson,QB,Active,"6'2""",205,1997-01-07T00:00:00,Louisville,4,QB,True,OFF,Lamar Jackson,27,L.Jackson,6,2,3,3,8253800.0,http://cdn.usatsimg.com/api/download/?imageID=24051543,http://cdn.usatsimg.com/api/download/?imageID=24051542,2024-08-22T14:17:16,2024-08-22T14:17:12
14688,BAL,9,Justin,Tucker,K,Active,"6'1""",191,1989-11-21T00:00:00,Texas,7,K,True,ST,Justin Tucker,34,J.Tucker,6,1,3,3,8253864.0,http://cdn.usatsimg.com/api/download/?imageID=24052310,http://cdn.usatsimg.com/api/download/?imageID=24052309,2024-08-22T15:20:34,2024-08-22T15:20:30
19375,BAL,10,Arthur,Maulet,CB,Injured Reserve,"5'9""",190,1993-07-13T00:00:00,Memphis,4,DB,True,DEF,Arthur Maulet,31,A.Maulet,5,9,3,3,8313659.0,http://cdn.usatsimg.com/api/download/?imageID=24051762,http://cdn.usatsimg.com/api/download/?imageID=24051766,2024-08-22T14:38:16,2024-08-22T14:38:26
